"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_12997","rfbC","dTDP-4-dehydrorhamnose 3,5-epimerase","108","0","1","559","99.0825688073","100.0","inf","1.14726415841e-125","2.55966106382e-121","2.55966106382e-121"
"group_13007","","hypothetical protein","107","0","2","559","98.1651376147","100.0","inf","3.21807596433e-123","7.17984928401e-119","3.589924642e-119"
"group_10865","","hypothetical protein","107","1","2","558","98.1651376147","99.8211091234","29853.0","3.46324631498e-121","7.72684885335e-117","2.57561628445e-117"
"group_13006","","hypothetical protein","107","2","2","557","98.1651376147","99.6422182469","14899.75","1.88079080803e-119","4.1962323718e-115","1.04905809295e-115"
"group_4431","","hypothetical protein","106","1","3","558","97.247706422","99.8211091234","19716.0","6.41641439607e-119","1.43156621591e-114","2.86313243182e-115"
"group_13087","","hypothetical protein","107","3","2","556","98.1651376147","99.4633273703","9915.33333333","6.87178877625e-118","1.53316479387e-113","2.55527465645e-114"
"group_10864","","hypothetical protein","104","0","5","559","95.4128440367","100.0","inf","9.57125430955e-117","2.135442549e-112","2.66930318625e-113"
"mshA","","D-inositol-3-phosphate glycosyltransferase","104","0","5","559","95.4128440367","100.0","inf","9.57125430955e-117","2.135442549e-112","2.66930318625e-113"
"group_7787","","hypothetical protein","107","5","2","554","98.1651376147","99.1055456172","5927.8","4.24119582941e-115","9.462532015e-111","1.05139244611e-111"
"bshA","","N-acetyl-alpha-D-glucosaminyl L-malate synthase","103","0","6","559","94.495412844","100.0","inf","9.01293114149e-115","2.01087506698e-110","2.01087506698e-111"
"group_10939","","hypothetical protein","102","1","7","558","93.5779816514","99.8211091234","8130.85714286","7.41429466931e-111","1.65420328367e-106","1.50382116697e-107"
"epsH_2","","Putative glycosyltransferase EpsH","100","0","9","559","91.7431192661","100.0","inf","3.25974285767e-109","7.27281228974e-105","6.06067690812e-106"
"group_13194","","hypothetical protein","102","2","7","557","93.5779816514","99.6422182469","4058.14285714","3.80813141925e-109","8.4963220095e-105","6.06880143536e-106"
"group_13063","","hypothetical protein","102","2","7","557","93.5779816514","99.6422182469","4058.14285714","3.80813141925e-109","8.4963220095e-105","6.06880143536e-106"
"group_10894","fimA_1","major type 1 subunit fimbrin (pilin)","101","1","8","558","92.6605504587","99.8211091234","7044.75","5.19478247824e-109","1.15900791872e-104","7.243799492e-106"
"group_13064","","hypothetical protein","101","1","8","558","92.6605504587","99.8211091234","7044.75","5.19478247824e-109","1.15900791872e-104","7.243799492e-106"
"group_13004","","hypothetical protein","107","11","2","548","98.1651376147","98.0322003578","2665.27272727","2.9605799426e-108","6.60534990993e-104","3.88549994702e-105"
"group_13125","fimC_2","periplasmic chaperone, required for type 1 fimbriae","101","2","8","557","92.6605504587","99.6422182469","3516.0625","2.63787078821e-107","5.88535351558e-103","2.19100066356e-104"
"group_13126","fimD_1","outer membrane protein; export and assembly of type 1 fimbriae","101","2","8","557","92.6605504587","99.6422182469","3516.0625","2.63787078821e-107","5.88535351558e-103","2.19100066356e-104"
"group_10895","fimI_2","fimbrial protein","101","2","8","557","92.6605504587","99.6422182469","3516.0625","2.63787078821e-107","5.88535351558e-103","2.19100066356e-104"
"group_9208","","IS4 family transposase ISEc13","101","2","8","557","92.6605504587","99.6422182469","3516.0625","2.63787078821e-107","5.88535351558e-103","2.19100066356e-104"
"group_13065","","hypothetical protein","101","2","8","557","92.6605504587","99.6422182469","3516.0625","2.63787078821e-107","5.88535351558e-103","2.19100066356e-104"
"group_10925","","hypothetical protein","101","2","8","557","92.6605504587","99.6422182469","3516.0625","2.63787078821e-107","5.88535351558e-103","2.19100066356e-104"
"group_10924","","hypothetical protein","101","2","8","557","92.6605504587","99.6422182469","3516.0625","2.63787078821e-107","5.88535351558e-103","2.19100066356e-104"
"group_10881","","hypothetical protein","101","2","8","557","92.6605504587","99.6422182469","3516.0625","2.63787078821e-107","5.88535351558e-103","2.19100066356e-104"
"fimF_2","","fimbrial morphology","101","2","8","557","92.6605504587","99.6422182469","3516.0625","2.63787078821e-107","5.88535351558e-103","2.19100066356e-104"
"garD_3","","galactarate dehydratase","100","1","9","558","91.7431192661","99.8211091234","6200.0","3.24068943111e-107","7.23030218974e-103","2.19100066356e-104"
"garD_2","","galactarate dehydratase","100","1","9","558","91.7431192661","99.8211091234","6200.0","3.24068943111e-107","7.23030218974e-103","2.19100066356e-104"
"kbaZ_2","","D-tagatose-1,6-bisphosphate aldolase subunit KbaZ","100","1","9","558","91.7431192661","99.8211091234","6200.0","3.24068943111e-107","7.23030218974e-103","2.19100066356e-104"
"group_13083","","hypothetical protein","100","1","9","558","91.7431192661","99.8211091234","6200.0","3.24068943111e-107","7.23030218974e-103","2.19100066356e-104"
"rsmI_1","","16S rRNA 2'-O-ribose methyltransferase","100","1","9","558","91.7431192661","99.8211091234","6200.0","3.24068943111e-107","7.23030218974e-103","2.19100066356e-104"
"group_13085","kbaY_1","D-tagatose-1,6-bisphosphate aldolase subunit KbaY","100","1","9","558","91.7431192661","99.8211091234","6200.0","3.24068943111e-107","7.23030218974e-103","2.19100066356e-104"
"group_13084","malY_2","bifunctional beta-cystathionase, PLP-dependent and regulator of maltose regulon","100","1","9","558","91.7431192661","99.8211091234","6200.0","3.24068943111e-107","7.23030218974e-103","2.19100066356e-104"
"group_9212","","hypothetical protein","102","4","7","555","93.5779816514","99.2844364937","2021.78571429","3.44567966572e-106","7.68765590219e-102","2.26107526535e-103"
"garD_4","","galactarate dehydratase","100","2","9","557","91.7431192661","99.6422182469","3094.44444444","1.62677769747e-105","3.62950372083e-101","9.80946951575e-103"
"group_10923","","hypothetical protein","100","2","9","557","91.7431192661","99.6422182469","3094.44444444","1.62677769747e-105","3.62950372083e-101","9.80946951575e-103"
"group_13171","","hypothetical protein","100","2","9","557","91.7431192661","99.6422182469","3094.44444444","1.62677769747e-105","3.62950372083e-101","9.80946951575e-103"
"group_7790","","hypothetical protein","99","2","10","557","90.8256880734","99.6422182469","2757.15","9.04332314335e-104","2.01765582651e-99","4.95799388821e-101"
"group_13512","","IS66 family transposase IS682","99","2","10","557","90.8256880734","99.6422182469","2757.15","9.04332314335e-104","2.01765582651e-99","4.95799388821e-101"
"agaR_2","","AgaR DNA-binding transcriptional repressor","98","1","11","558","89.9082568807","99.8211091234","4971.27272727","9.33332182802e-104","2.08235743305e-99","4.95799388821e-101"
"fimH_1","","minor fimbrial subunit, D-mannose specific adhesin","98","1","11","558","89.9082568807","99.8211091234","4971.27272727","9.33332182802e-104","2.08235743305e-99","4.95799388821e-101"
"group_13082","","hypothetical protein","98","1","11","558","89.9082568807","99.8211091234","4971.27272727","9.33332182802e-104","2.08235743305e-99","4.95799388821e-101"
"group_10152","intA","CP4-57 prophage; integrase","101","6","8","553","92.6605504587","98.9266547406","1163.60416667","8.57572136247e-102","1.91332919318e-97","4.44960277484e-99"
"group_6717","arnC_2","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","94","0","15","559","86.2385321101","100.0","inf","3.15161049228e-99","7.03155816933e-95","1.59808140212e-96"
"group_6721","","hypothetical protein","107","22","2","537","98.1651376147","96.0644007156","1305.88636364","1.072639578e-98","2.39316616248e-94","5.31814702773e-96"
