"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"yadV_2","","putative pilin chaperone similar to PapD","28","3","0","637","100.0","99.53125","inf","1.96031811757e-46","4.37366575211e-42","4.37366575211e-42"
"gspO","","leader peptidase, integral membrane protein","0","633","28","7","0.0","1.09375","0.0","2.93263590388e-43","6.54300396516e-39","3.27150198258e-39"
"group_8871","gspO","leader peptidase, integral membrane protein","28","8","0","632","100.0","98.75","inf","1.31968615675e-42","2.94435178432e-38","9.81450594773e-39"
"gspK_1","","putative protein secretion protein for export","0","631","28","9","0.0","1.40625","0.0","5.42537642218e-42","1.21045573355e-37","3.02613933388e-38"
"tesB","","thioesterase II","0","630","28","10","0.0","1.5625","0.0","2.06164304043e-41","4.5997317875e-37","9.19946357501e-38"
"group_8540","tesB","thioesterase II","28","12","0","628","100.0","98.125","inf","2.4364872296e-40","5.43604665796e-36","7.76578093994e-37"
"group_9091","arnC_1","undecaprenyl phosphate-L-Ara4FN transferase","28","12","0","628","100.0","98.125","inf","2.4364872296e-40","5.43604665796e-36","7.76578093994e-37"
"xisE","","e14 prophage; predicted excisionase","0","625","28","15","0.0","2.34375","0.0","6.60850305505e-39","1.47442311661e-34","1.84302889576e-35"
"group_2785","","hypothetical protein","0","618","28","22","0.0","3.4375","0.0","3.8704754348e-36","8.63541774257e-32","9.59490860286e-33"
"htrE","","putative outer membrane usher protein","3","633","25","7","10.7142857143","1.09375","0.00132701421801","6.27212272654e-36","1.39937330152e-31","1.39937330152e-32"
"group_4642","gspK_2","putative protein secretion protein for export","28","24","0","616","100.0","96.25","inf","1.85951102411e-35","4.14875504589e-31","3.77159549626e-32"
"group_3513","htrE","putative outer membrane usher protein","26","12","2","628","92.8571428571","98.125","680.333333333","2.34280542015e-35","5.2270331729e-31","4.35586097742e-32"
"group_596","","hypothetical protein","23","3","5","637","82.1428571429","99.53125","976.733333333","1.01556792956e-34","2.26583360765e-30","1.74294892896e-31"
"group_13616","","hypothetical protein","23","4","5","636","82.1428571429","99.375","731.4","6.80393117244e-34","1.51802508388e-29","1.08430363134e-30"
"group_13615","","hypothetical protein","24","7","4","633","85.7142857143","98.90625","542.571428571","7.80724981009e-34","1.74187550513e-29","1.16125033675e-30"
"group_5820","","hypothetical protein","25","12","3","628","89.2857142857","98.125","436.111111111","3.37424479249e-33","7.52827755653e-29","4.70517347283e-30"
"group_9395","rzpD_2","DLP12 prophage; predicted murein endopeptidase","23","5","5","635","82.1428571429","99.21875","584.2","3.78172770716e-33","8.43741268743e-29","4.96318393379e-30"
"group_3893","","hypothetical protein","27","24","1","616","96.4285714286","96.25","693.0","6.1864501379e-33","1.38025889027e-28","7.66810494593e-30"
"group_11190","","hypothetical protein","23","6","5","634","82.1428571429","99.0625","486.066666667","1.81415529698e-32","4.0475618831e-28","2.13029572795e-29"
"group_5721","gspL","putative protein secretion protein for export","27","26","1","614","96.4285714286","95.9375","637.615384615","2.61486728839e-32","5.83403040713e-28","2.91701520357e-29"
"group_10125","","hypothetical protein","0","602","28","38","0.0","5.9375","0.0","1.4887087984e-31","3.32145820011e-27","1.50975372732e-28"
"rluE","","23S rRNA pseudouridine 2457 synthase","0","602","28","38","0.0","5.9375","0.0","1.4887087984e-31","3.32145820011e-27","1.50975372732e-28"
"group_8393","","hypothetical protein","0","601","28","39","0.0","6.09375","0.0","2.55752537161e-31","5.7060948566e-27","2.28243794264e-28"
"group_2228","","hypothetical protein","0","601","28","39","0.0","6.09375","0.0","2.55752537161e-31","5.7060948566e-27","2.28243794264e-28"
"group_7196","rluE","23S rRNA pseudouridine 2457 synthase","28","39","0","601","100.0","93.90625","inf","2.55752537161e-31","5.7060948566e-27","2.28243794264e-28"
"group_13618","","hypothetical protein","19","0","9","640","67.8571428571","100.0","inf","2.3218808981e-30","5.18034847175e-26","1.9924417199e-27"
"group_9398","","hypothetical protein","21","5","7","635","75.0","99.21875","381.0","2.48220750403e-29","5.53805316225e-25","2.05113080083e-26"
"group_12451","","hypothetical protein","1","600","27","40","3.57142857143","6.25","0.00246913580247","1.07850844921e-28","2.40626020103e-24","8.22066016217e-26"
"group_6215","","hypothetical protein","1","600","27","40","3.57142857143","6.25","0.00246913580247","1.07850844921e-28","2.40626020103e-24","8.22066016217e-26"
"group_11192","","hypothetical protein","21","6","7","634","75.0","99.0625","317.0","1.10537315613e-28","2.46619804865e-24","8.22066016217e-26"
"group_13619","","hypothetical protein","18","0","10","640","64.2857142857","100.0","inf","1.50922258376e-28","3.36722650663e-24","1.05225828332e-25"
"group_11194","","hypothetical protein","18","0","10","640","64.2857142857","100.0","inf","1.50922258376e-28","3.36722650663e-24","1.05225828332e-25"
"group_889","","hypothetical protein","1","599","27","41","3.57142857143","6.40625","0.00253508934644","1.78588253979e-28","3.98448253454e-24","1.20741894986e-25"
"group_12450","","hypothetical protein","1","595","27","45","3.57142857143","7.03125","0.00280112044818","1.2252194039e-27","2.73358701204e-23","8.03996180011e-25"
"group_9304","","hypothetical protein","28","58","0","582","100.0","90.9375","inf","1.47429976791e-27","3.28931021219e-23","9.13697281163e-25"
"yshB","","small predicted membrane protein","0","582","28","58","0.0","9.0625","0.0","1.47429976791e-27","3.28931021219e-23","9.13697281163e-25"
"group_11182","","hypothetical protein","21","8","7","632","75.0","98.75","237.0","1.56954369702e-27","3.50180894242e-23","9.46434849304e-25"
"group_7972","","hypothetical protein","22","12","6","628","78.5714285714","98.125","191.888888889","2.11699536566e-27","4.72322836033e-23","1.24295483167e-24"
"yhjH_1","","c-di-GMP phosphodiesterase","28","60","0","580","100.0","90.625","inf","3.18848559975e-27","7.11383022161e-23","1.6543791213e-24"
"group_11065","","hypothetical protein","28","60","0","580","100.0","90.625","inf","3.18848559975e-27","7.11383022161e-23","1.6543791213e-24"
"group_13454","","hypothetical protein","28","60","0","580","100.0","90.625","inf","3.18848559975e-27","7.11383022161e-23","1.6543791213e-24"
"group_13455","hsdM","host modification; DNA methylase M","28","60","0","580","100.0","90.625","inf","3.18848559975e-27","7.11383022161e-23","1.6543791213e-24"
"group_13456","","hypothetical protein","28","60","0","580","100.0","90.625","inf","3.18848559975e-27","7.11383022161e-23","1.6543791213e-24"
"group_7194","","hypothetical protein","2","602","26","38","7.14285714286","5.9375","0.00485560950677","4.79982612876e-27","1.07088920759e-22","2.43383910815e-24"
"yhjE","","YhjE MFS transporter","1","590","27","50","3.57142857143","7.8125","0.00313873195229","1.13332107445e-26","2.52855264921e-22","5.61900588713e-24"
"group_8846","yhjE","YhjE MFS transporter","27","51","1","589","96.4285714286","92.03125","311.823529412","1.73049499813e-26","3.86090739034e-22","8.39327693551e-24"
"group_5653","symE","toxin-like protein of the SOS response","28","65","0","575","100.0","89.84375","inf","2.00619775288e-26","4.47602780645e-22","9.3250579301e-24"
"group_4982","","hypothetical protein","0","575","28","65","0.0","10.15625","0.0","2.00619775288e-26","4.47602780645e-22","9.3250579301e-24"
"group_8390","","hypothetical protein","1","586","27","54","3.57142857143","8.4375","0.00341296928328","5.92340477043e-26","1.32157083833e-21","2.69708334353e-23"
"group_7429","ydiF_2","fused predicted acetyl-CoA:acetoacetyl-CoA transferase: alpha subunit/beta subunit","28","69","0","571","100.0","89.21875","inf","8.04065492357e-26","1.79395052e-21","3.58790104e-23"
"group_3087","rop","Regulatory protein rop","20","9","8","631","71.4285714286","98.59375","175.277777778","2.89726667753e-25","6.46409168423e-21","1.26746895769e-22"
"group_10124","","hypothetical protein","3","601","25","39","10.7142857143","6.09375","0.00778702163062","6.4391994804e-25","1.43664979607e-20","2.76278806937e-22"
"group_589","","hypothetical protein","0","564","28","76","0.0","11.875","0.0","7.81315577737e-25","1.74319318549e-20","3.2890437462e-22"
"group_8386","","putative HTH-type transcriptional regulator","3","600","25","40","10.7142857143","6.25","0.008","1.04138600068e-24","2.32343630611e-20","4.30265982613e-22"
"qor","","quinone oxidoreductase","1","577","27","63","3.57142857143","9.84375","0.00404390525708","1.74151846075e-24","3.88550183778e-20","6.9383961389e-22"
"group_8388","","hypothetical protein","1","577","27","63","3.57142857143","9.84375","0.00404390525708","1.74151846075e-24","3.88550183778e-20","6.9383961389e-22"
"group_886","","hypothetical protein","0","561","28","79","0.0","12.34375","0.0","1.96106959429e-24","4.37534237183e-20","7.67603924882e-22"
"group_8736","qor","quinone oxidoreductase","27","65","1","575","96.4285714286","89.84375","238.846153846","3.49315701208e-24","7.79358260966e-20","1.3437211396e-21"
"group_7971","","hypothetical protein","22","21","6","619","78.5714285714","96.71875","108.079365079","3.74087358863e-24","8.34626306359e-20","1.41462085824e-21"
"group_12843","","hypothetical protein","0","557","28","83","0.0","12.96875","0.0","6.39134075901e-24","1.42597203674e-19","2.37662006124e-21"
"group_10122","","hypothetical protein","1","573","27","67","3.57142857143","10.46875","0.00433068321375","6.88271008631e-24","1.53560144736e-19","2.476776528e-21"
"group_4553","","hypothetical protein","1","573","27","67","3.57142857143","10.46875","0.00433068321375","6.88271008631e-24","1.53560144736e-19","2.476776528e-21"
"group_5885","cea","Colicin-E1","22","22","6","618","78.5714285714","96.5625","103.0","7.41316796664e-24","1.65395190504e-19","2.62532048419e-21"
"group_13433","","hypothetical protein","23","29","5","611","82.1428571429","95.46875","96.9172413793","1.13022359009e-23","2.52164185184e-19","3.87944900284e-21"
"group_13434","","hypothetical protein","23","29","5","611","82.1428571429","95.46875","96.9172413793","1.13022359009e-23","2.52164185184e-19","3.87944900284e-21"
"group_5888","","hypothetical protein","22","23","6","617","78.5714285714","96.40625","98.3623188406","1.43708762113e-23","3.2062861915e-19","4.85800938106e-21"
"dkgA_2","","methylglyoxal reductase [multifunctional]","7","622","21","18","25.0","2.8125","0.0096463022508","2.05151077235e-23","4.57712568419e-19","6.83153087192e-21"
