"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"phnD_1","","phosphonate ABC transporter - periplasmic binding protein","36","6","3","623","92.3076923077","99.0461049285","1246.0","9.20929172615e-50","2.05468507702e-45","2.05468507702e-45"
"group_13369","","hypothetical protein","30","14","9","615","76.9230769231","97.7742448331","146.428571429","1.86088611564e-33","4.15182301259e-29","2.0759115063e-29"
"group_11016","","hypothetical protein","31","23","8","606","79.4871794872","96.3434022258","102.097826087","2.2618179666e-31","5.04634206527e-27","1.68211402176e-27"
"group_5297","","hypothetical protein","31","24","8","605","79.4871794872","96.1844197138","97.6822916667","5.11800244927e-31","1.14187752646e-26","2.85469381614e-27"
"group_13366","","hypothetical protein","32","30","7","599","82.0512820513","95.2305246423","91.2761904762","1.12992292055e-30","2.52097102805e-26","3.6078811059e-27"
"group_13365","","hypothetical protein","32","30","7","599","82.0512820513","95.2305246423","91.2761904762","1.12992292055e-30","2.52097102805e-26","3.6078811059e-27"
"group_5980","","hypothetical protein","31","25","8","604","79.4871794872","96.0254372019","93.62","1.13196036669e-30","2.52551677413e-26","3.6078811059e-27"
"group_13364","","hypothetical protein","32","31","7","598","82.0512820513","95.0715421304","88.1843317972","2.27062001301e-30","5.06598031102e-26","6.33247538877e-27"
"group_13319","","hypothetical protein","30","22","9","607","76.9230769231","96.5023847377","91.9696969697","3.91159404864e-30","8.72715748193e-26","7.27263123494e-27"
"group_13318","","hypothetical protein","30","22","9","607","76.9230769231","96.5023847377","91.9696969697","3.91159404864e-30","8.72715748193e-26","7.27263123494e-27"
"group_13274","","hypothetical protein","30","22","9","607","76.9230769231","96.5023847377","91.9696969697","3.91159404864e-30","8.72715748193e-26","7.27263123494e-27"
"group_13370","","hypothetical protein","30","22","9","607","76.9230769231","96.5023847377","91.9696969697","3.91159404864e-30","8.72715748193e-26","7.27263123494e-27"
"group_9280","","hypothetical protein","31","27","8","602","79.4871794872","95.7074721781","86.3981481481","5.19680284177e-30","1.15945868203e-25","8.28184772877e-27"
"group_5985","dnaT_1","Primosomal protein 1","31","27","8","602","79.4871794872","95.7074721781","86.3981481481","5.19680284177e-30","1.15945868203e-25","8.28184772877e-27"
"group_13362","","hypothetical protein","32","33","7","596","82.0512820513","94.7535771065","82.5627705628","8.7454871912e-30","1.95120564723e-25","1.16626359076e-26"
"group_13275","","hypothetical protein","30","23","9","606","76.9230769231","96.3434022258","87.8260869565","8.88641524041e-30","1.98264810429e-25","1.16626359076e-26"
"group_13273","","hypothetical protein","30","23","9","606","76.9230769231","96.3434022258","87.8260869565","8.88641524041e-30","1.98264810429e-25","1.16626359076e-26"
"group_11014","","hypothetical protein","32","34","7","595","82.0512820513","94.5945945946","80.0","1.67858108031e-29","3.74508224827e-25","1.87254112414e-26"
"group_2314","","hypothetical protein","32","34","7","595","82.0512820513","94.5945945946","80.0","1.67858108031e-29","3.74508224827e-25","1.87254112414e-26"
