"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"fic_1","","Protein adenylyltransferase SoFic","224","0","0","444","100.0","100.0","inf","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"group_13322","","hypothetical protein","224","0","0","444","100.0","100.0","inf","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"group_13323","","hypothetical protein","224","0","0","444","100.0","100.0","inf","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"group_13320","xerC_1","Tyrosine recombinase XerC","224","0","0","444","100.0","100.0","inf","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"yjhQ","","KpLE2 phage-like element; predicted acetyltransferase","224","0","0","444","100.0","100.0","inf","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"group_13278","","hypothetical protein","224","0","0","444","100.0","100.0","inf","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"traC_1","","DNA primase TraC","224","0","0","444","100.0","100.0","inf","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"group_11009","","hypothetical protein","224","0","0","444","100.0","100.0","inf","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"group_8426","","IS3 family transposase ISAs9","224","0","0","444","100.0","100.0","inf","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"yibD_1","","putative glycosyl transferase","224","0","0","444","100.0","100.0","inf","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"group_4766","","hypothetical protein","224","0","0","444","100.0","100.0","inf","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"group_10319","","hypothetical protein","0","444","224","0","0.0","0.0","0.0","2.68302056991e-184","5.98608719352e-180","4.9884059946e-181"
"group_13325","","hypothetical protein","223","0","1","444","99.5535714286","100.0","inf","1.19394415361e-181","2.66380880112e-177","1.15817773962e-178"
"group_13292","","hypothetical protein","223","0","1","444","99.5535714286","100.0","inf","1.19394415361e-181","2.66380880112e-177","1.15817773962e-178"
"group_13293","","hypothetical protein","223","0","1","444","99.5535714286","100.0","inf","1.19394415361e-181","2.66380880112e-177","1.15817773962e-178"
"group_13290","","hypothetical protein","223","0","1","444","99.5535714286","100.0","inf","1.19394415361e-181","2.66380880112e-177","1.15817773962e-178"
"group_11022","","hypothetical protein","223","0","1","444","99.5535714286","100.0","inf","1.19394415361e-181","2.66380880112e-177","1.15817773962e-178"
"group_11020","","hypothetical protein","223","0","1","444","99.5535714286","100.0","inf","1.19394415361e-181","2.66380880112e-177","1.15817773962e-178"
"group_13343","","hypothetical protein","223","0","1","444","99.5535714286","100.0","inf","1.19394415361e-181","2.66380880112e-177","1.15817773962e-178"
"group_11005","","hypothetical protein","223","0","1","444","99.5535714286","100.0","inf","1.19394415361e-181","2.66380880112e-177","1.15817773962e-178"
"group_13287","","hypothetical protein","223","0","1","444","99.5535714286","100.0","inf","1.19394415361e-181","2.66380880112e-177","1.15817773962e-178"
"group_9254","","hypothetical protein","223","0","1","444","99.5535714286","100.0","inf","1.19394415361e-181","2.66380880112e-177","1.15817773962e-178"
"group_7824","","hypothetical protein","223","0","1","444","99.5535714286","100.0","inf","1.19394415361e-181","2.66380880112e-177","1.15817773962e-178"
"gntR_1","","GntR DNA-binding transcriptional repressor","224","2","0","442","100.0","99.5495495495","inf","6.82157979899e-180","1.52196266895e-175","5.43558096054e-177"
"group_13329","","hypothetical protein","224","2","0","442","100.0","99.5495495495","inf","6.82157979899e-180","1.52196266895e-175","5.43558096054e-177"
"group_13327","","IS110 family transposase ISEc21","224","2","0","442","100.0","99.5495495495","inf","6.82157979899e-180","1.52196266895e-175","5.43558096054e-177"
"sgcA_2","","PTS permease - unknown specificity","224","2","0","442","100.0","99.5495495495","inf","6.82157979899e-180","1.52196266895e-175","5.43558096054e-177"
"ulaB_2","","Ascorbate-specific PTS system EIIB component","224","2","0","442","100.0","99.5495495495","inf","6.82157979899e-180","1.52196266895e-175","5.43558096054e-177"
"group_13376","","hypothetical protein","222","0","2","444","99.1071428571","100.0","inf","2.66249546255e-179","5.94029362649e-175","1.75105374708e-176"
"group_13372","","hypothetical protein","222","0","2","444","99.1071428571","100.0","inf","2.66249546255e-179","5.94029362649e-175","1.75105374708e-176"
"group_10978","","hypothetical protein","222","0","2","444","99.1071428571","100.0","inf","2.66249546255e-179","5.94029362649e-175","1.75105374708e-176"
"group_13288","","hypothetical protein","223","1","1","443","99.5535714286","99.7747747748","98789.0","2.66845176821e-179","5.95358274006e-175","1.75105374708e-176"
"group_7825","","hypothetical protein","223","1","1","443","99.5535714286","99.7747747748","98789.0","2.66845176821e-179","5.95358274006e-175","1.75105374708e-176"
"group_10977","","hypothetical protein","223","1","1","443","99.5535714286","99.7747747748","98789.0","2.66845176821e-179","5.95358274006e-175","1.75105374708e-176"
"yjjJ","","putative DNA-binding transcriptional regulator","0","441","224","3","0.0","0.675675675676","0.0","5.1616620479e-178","1.15161841951e-173","3.03057478818e-175"
"higB-2_2","","Toxin HigB-2","0","441","224","3","0.0","0.675675675676","0.0","5.1616620479e-178","1.15161841951e-173","3.03057478818e-175"
"group_12596","","hypothetical protein","0","441","224","3","0.0","0.675675675676","0.0","5.1616620479e-178","1.15161841951e-173","3.03057478818e-175"
"group_10971","","hypothetical protein","224","3","0","441","100.0","99.3243243243","inf","5.1616620479e-178","1.15161841951e-173","3.03057478818e-175"
"group_13291","","hypothetical protein","223","2","1","442","99.5535714286","99.5495495495","49283.0","2.99527721138e-177","6.68276298632e-173","1.67069074658e-174"
"group_10979","","hypothetical protein","223","2","1","442","99.5535714286","99.5495495495","49283.0","2.99527721138e-177","6.68276298632e-173","1.67069074658e-174"
"group_3961","malX_1","maltose / glucose PTS permease - MalX subunit","221","0","3","444","98.6607142857","100.0","inf","3.96711823919e-177","8.85103750346e-173","2.0115994326e-174"
"group_13377","","hypothetical protein","221","0","3","444","98.6607142857","100.0","inf","3.96711823919e-177","8.85103750346e-173","2.0115994326e-174"
"group_13373","","hypothetical protein","221","0","3","444","98.6607142857","100.0","inf","3.96711823919e-177","8.85103750346e-173","2.0115994326e-174"
"group_10647","murR_2","MurR-MurNAc-6-P","221","0","3","444","98.6607142857","100.0","inf","3.96711823919e-177","8.85103750346e-173","2.0115994326e-174"
"group_11021","","hypothetical protein","220","0","4","444","98.2142857143","100.0","inf","4.4431724279e-175","9.91316200389e-171","2.10918340508e-172"
"group_13378","","hypothetical protein","220","0","4","444","98.2142857143","100.0","inf","4.4431724279e-175","9.91316200389e-171","2.10918340508e-172"
"group_13375","","hypothetical protein","220","0","4","444","98.2142857143","100.0","inf","4.4431724279e-175","9.91316200389e-171","2.10918340508e-172"
