"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_11119","","hypothetical protein","32","20","0","616","100.0","96.8553459119","inf","2.85324370324e-41","6.36587202629e-37","6.36587202629e-37"
"group_427","","IS66 family transposase ISEc22","26","4","6","632","81.25","99.3710691824","684.666666667","5.68562239721e-37","1.26851921304e-32","6.34259606521e-33"
"group_3357","","hypothetical protein","24","1","8","635","75.0","99.8427672956","1905.0","3.92940570943e-36","8.76689707832e-32","2.13356379855e-32"
"group_13535","","hypothetical protein","32","36","0","600","100.0","94.3396226415","inf","5.73770014401e-36","1.28013827913e-31","2.13356379855e-32"
"group_13534","","hypothetical protein","32","36","0","600","100.0","94.3396226415","inf","5.73770014401e-36","1.28013827913e-31","2.13356379855e-32"
"group_9209","","IS4 family transposase ISEc13","32","36","0","600","100.0","94.3396226415","inf","5.73770014401e-36","1.28013827913e-31","2.13356379855e-32"
"virB","","Virulence regulon transcriptional activator VirB","32","37","0","599","100.0","94.1823899371","inf","1.07000354037e-35","2.38728489892e-31","3.14116434068e-32"
"group_5952","","hypothetical protein","31","29","1","607","96.875","95.4402515723","648.862068966","1.57816181663e-35","3.52103682909e-31","3.14116434068e-32"
"group_13279","yedY_1","reductase","31","29","1","607","96.875","95.4402515723","648.862068966","1.57816181663e-35","3.52103682909e-31","3.14116434068e-32"
"group_13281","yedW_7","putative DNA-binding response regulator in two-component system with YedV","31","29","1","607","96.875","95.4402515723","648.862068966","1.57816181663e-35","3.52103682909e-31","3.14116434068e-32"
"group_13280","yedZ1","Putative protein-methionine-sulfoxide reductase subunit YedZ1","31","29","1","607","96.875","95.4402515723","648.862068966","1.57816181663e-35","3.52103682909e-31","3.14116434068e-32"
"group_13538","","hypothetical protein","32","38","0","598","100.0","94.0251572327","inf","1.97105915331e-35","4.39763007696e-31","3.14116434068e-32"
"relE","","Qin prophage; toxin of the RelE-RelB toxin-antitoxin system and cofactor to enhance the repressor activity of RelB","32","38","0","598","100.0","94.0251572327","inf","1.97105915331e-35","4.39763007696e-31","3.14116434068e-32"
"group_13119","","hypothetical protein","32","38","0","598","100.0","94.0251572327","inf","1.97105915331e-35","4.39763007696e-31","3.14116434068e-32"
"group_3982","sasA","Adaptive-response sensory-kinase SasA","31","30","1","606","96.875","95.2830188679","626.2","3.20382372565e-35","7.1480511143e-31","4.76536740953e-32"
"cdiA","","tRNA nuclease CdiA","32","41","0","595","100.0","93.5534591195","inf","1.15001871575e-34","2.56580675672e-30","1.60362922295e-31"
"group_13025","","hypothetical protein","32","42","0","594","100.0","93.3962264151","inf","2.02622345157e-34","4.52070714279e-30","2.02178315867e-31"
"group_13024","insD","Qin prophage; predicted transposase","32","42","0","594","100.0","93.3962264151","inf","2.02622345157e-34","4.52070714279e-30","2.02178315867e-31"
"group_13021","","hypothetical protein","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_13020","","hypothetical protein","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_13022","","hypothetical protein","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_13026","","hypothetical protein","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"cutC_1","","Choline trimethylamine-lyase","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"hyfR","","HyfR DNA-binding transcriptional activator","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_5930","papG","Fimbrial adhesin PapG","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"pduL","","Phosphate propanoyltransferase","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"mdtJ_1","","Spermidine export protein MdtJ","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_5998","","hypothetical protein","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_13018","eutM_2","putative structural protein, ethanolamine utilization microcompartment","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_13014","adhE_2","pyruvate formate-lyase deactivase [multifunctional]","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_13015","","hypothetical protein","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_13016","adhE_2","pyruvate formate-lyase deactivase [multifunctional]","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_13017","eutM_1","putative structural protein, ethanolamine utilization microcompartment","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_13010","","hypothetical protein","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_13012","","hypothetical protein","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"group_13192","prsF","Minor fimbrial protein PrsF","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"eutM_3","","putative structural protein, ethanolamine utilization microcompartment","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"emrE_1","","multidrug efflux transporter EmrE","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"pflC_2","","putative pyruvate formate lyase 2 activating enzyme","32","43","0","593","100.0","93.2389937107","inf","3.53411067134e-34","7.88495431882e-30","2.02178315867e-31"
"mleN_1","","Malate-2H(+)/Na(+)-lactate antiporter","32","44","0","592","100.0","93.0817610063","inf","6.10437297777e-34","1.36194665507e-29","3.32182110993e-31"
"group_13193","papE","Fimbrial protein PapE","32","44","0","592","100.0","93.0817610063","inf","6.10437297777e-34","1.36194665507e-29","3.32182110993e-31"
"group_426","","hypothetical protein","32","45","0","591","100.0","92.9245283019","inf","1.04452604286e-33","2.33044205423e-29","4.56949422398e-31"
"group_6864","","hypothetical protein","32","45","0","591","100.0","92.9245283019","inf","1.04452604286e-33","2.33044205423e-29","4.56949422398e-31"
"group_13186","","hypothetical protein","32","45","0","591","100.0","92.9245283019","inf","1.04452604286e-33","2.33044205423e-29","4.56949422398e-31"
"group_13184","","hypothetical protein","32","45","0","591","100.0","92.9245283019","inf","1.04452604286e-33","2.33044205423e-29","4.56949422398e-31"
"group_13185","","hypothetical protein","32","45","0","591","100.0","92.9245283019","inf","1.04452604286e-33","2.33044205423e-29","4.56949422398e-31"
"group_13183","ydiO_1","putative BsuMI modification methylase subunit YdiO","32","45","0","591","100.0","92.9245283019","inf","1.04452604286e-33","2.33044205423e-29","4.56949422398e-31"
"group_10932","","hypothetical protein","32","45","0","591","100.0","92.9245283019","inf","1.04452604286e-33","2.33044205423e-29","4.56949422398e-31"
