#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
ESC_NA4035AA_AS.fasta	NODE_100_length_420_cov_12.8601	1	126	-	IS1X2:Z11605	1-126/768	===............	0/0	16.41	100.00	ISfinder_Feb_2020		IS1X2:Z11605	
ESC_NA4035AA_AS.fasta	NODE_101_length_351_cov_38.8839	1	127	+	IS600:X05952	1138-1264/1264	.............==	0/0	10.05	100.00	ISfinder_Feb_2020		IS600:X05952	
ESC_NA4035AA_AS.fasta	NODE_102_length_349_cov_40.1396	1	127	-	IS911:X17613	454-580/1250	.....==........	0/0	10.16	100.00	ISfinder_Feb_2020		IS911:X17613	
ESC_NA4035AA_AS.fasta	NODE_102_length_349_cov_40.1396	128	349	+	ISSfl10:NC_004741	1-222/1237	===............	0/0	17.95	99.10	ISfinder_Feb_2020		ISSfl10:NC_004741	
ESC_NA4035AA_AS.fasta	NODE_104_length_284_cov_92.8471	1	284	+	IS1A:X52534	1-284/768	======.........	0/0	36.98	99.30	ISfinder_Feb_2020		IS1A:X52534	
ESC_NA4035AA_AS.fasta	NODE_105_length_280_cov_95.268	1	280	+	IS1F:X52538	5-284/768	======.........	0/0	36.46	96.07	ISfinder_Feb_2020		IS1F:X52538	
ESC_NA4035AA_AS.fasta	NODE_106_length_254_cov_28.8661	128	254	-	IS10L:J01829	1203-1329/1329	.............==	0/0	9.56	98.42	ISfinder_Feb_2020		IS10L:J01829	
ESC_NA4035AA_AS.fasta	NODE_109_length_177_cov_31.86	1	177	-	IS1A:X52534	135-311/768	..=====........	0/0	23.05	100.00	ISfinder_Feb_2020		IS1A:X52534	
ESC_NA4035AA_AS.fasta	NODE_10_length_163067_cov_39.4356	1	126	-	IS2:M18426	1-126/1331	==.............	0/0	9.47	96.83	ISfinder_Feb_2020		IS2:M18426	
ESC_NA4035AA_AS.fasta	NODE_11_length_157330_cov_38.9488	1	174	-	IS10L:J01829	1-174/1329	==.............	0/0	13.09	98.28	ISfinder_Feb_2020		IS10L:J01829	
ESC_NA4035AA_AS.fasta	NODE_12_length_148118_cov_41.5339	1	383	+	IS2:M18426	949-1331/1331	..........=====	0/0	28.78	95.82	ISfinder_Feb_2020		IS2:M18426	
ESC_NA4035AA_AS.fasta	NODE_12_length_148118_cov_41.5339	147988	148118	+	IS1F:X52538	1-131/768	===............	0/0	17.06	99.24	ISfinder_Feb_2020		IS1F:X52538	
ESC_NA4035AA_AS.fasta	NODE_13_length_129611_cov_38.6653	58833	58921	+	IS621:NC_009800	1336-1424/1425	..............=	0/0	6.25	86.52	ISfinder_Feb_2020		IS621:NC_009800	
ESC_NA4035AA_AS.fasta	NODE_14_length_124859_cov_37.0446	84013	84185	-	IS4:J01733	1254-1426/1426	.............==	0/0	12.13	98.84	ISfinder_Feb_2020		IS4:J01733	
ESC_NA4035AA_AS.fasta	NODE_14_length_124859_cov_37.0446	84175	85157	-	IS4:J01733	1-983/1426	===========....	0/0	68.93	97.66	ISfinder_Feb_2020		IS4:J01733	
ESC_NA4035AA_AS.fasta	NODE_16_length_118668_cov_35.9782	118495	118668	+	IS10L:J01829	1-174/1329	==.............	0/0	13.09	98.28	ISfinder_Feb_2020		IS10L:J01829	
ESC_NA4035AA_AS.fasta	NODE_18_length_105886_cov_39.9634	1	124	+	IS2:M18426	1208-1331/1331	.............==	0/0	9.32	94.36	ISfinder_Feb_2020		IS2:M18426	
ESC_NA4035AA_AS.fasta	NODE_19_length_90376_cov_38.7502	1	127	+	IS1S:M37615	642-768/768	............===	0/0	16.54	100.00	ISfinder_Feb_2020		IS1S:M37615	
ESC_NA4035AA_AS.fasta	NODE_19_length_90376_cov_38.7502	6387	7154	+	IS1A:X52534	1-768/768	===============	0/0	100.00	99.48	ISfinder_Feb_2020		IS1A:X52534	
ESC_NA4035AA_AS.fasta	NODE_19_length_90376_cov_38.7502	11948	13127	-	ISEc32:NC_011747	1-1180/1180	===============	0/0	100.00	100.00	ISfinder_Feb_2020		ISEc32:NC_011747	
ESC_NA4035AA_AS.fasta	NODE_19_length_90376_cov_38.7502	62411	62504	+	IS1396:AF027768	1630-1723/1771	.............==	0/0	5.31	86.17	ISfinder_Feb_2020		IS1396:AF027768	
ESC_NA4035AA_AS.fasta	NODE_19_length_90376_cov_38.7502	67029	67139	-	IS200C:NC_004431	599-709/709	............===	0/0	15.66	100.00	ISfinder_Feb_2020		IS200C:NC_004431	
